keywords (sub-indicators),Social Determinant Category,Primary Determinant Analyzed,Secondary Determinant Analyzed 1,Secondary Determinant Analyzed 2,Secondary Determinant Analyzed 3,Title,Year Published,Source,Primary Author,Number of Authors,Associated Research Institution,Author Total Works Count,Research Type,Topic ,Subfield,Field,Domain,Aligned SDG ,Research Locations,Cites,Cited By,Research Method,Research Method Population Scale ,Harm Magnitude,Harm Population Impact ,ID,Cluster
Inequality in Education: Impact of Socioeconomic Status,Education,Higher Education,Debt,Food Security,,Racial and Ethnic Stratification in Educational Achievement and Attainment,2003,Annual review of sociology, Grace Kao,2, Yale University,120,article,Inequality in Education: Impact of Socioeconomic Status,Education,Social Sciences,Social Sciences,Quality education,https://doi.org/10.1146/annurev.soc.29.010202.100019,118,"1,161",Survey ,Very Small,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,112,Cluster_2
Factors Affecting Student Engagement in Education,Education,Higher Education,Income,Social Integration,,Schools as Developmental Contexts During Adolescence,2011,Journal of research on adolescence, Jacquelynne S. Eccles,2, University of California,561,article,Factors Affecting Student Engagement in Education,Education,Social Sciences,Social Sciences,Quality education,https://doi.org/10.1111/j.1532-7795.2010.00725.x,104,912,Secondary Data Analysis ,Medium,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,113,Cluster_2
Inequality in Education: Impact of Socioeconomic Status,Education,Higher Education,Medical Bills,Support Systems,Provider & Pharmacy Availability,Diversity: The Windows of Opportunity in Overcoming the Academic Achievement Gap between African-American and White Students and in Overcoming Racially Discriminatory Myths of African American Students in Public Education,2007,Forum on public policy,Vera Ann McLauchlin,1,,1,article,Inequality in Education: Impact of Socioeconomic Status,Education,Social Sciences,Social Sciences,Reduced inequalities,http://files.eric.ed.gov/fulltext/EJ1099098.pdf,25,1,Secondary Data Analysis ,Large,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,116,Cluster_2
,Education,Higher Education,Debt,Exposure to Violence / Trauma,,Promoting academic achievement: The role of racial identity in buffering perceptions of teacher discrimination on academic achievement among African American and Caribbean Black adolescents,2009,Journal of educational psychology,Oseela Thomas,4,University of Michigan–Ann Arbor,4,article,Critical Race Theory in Education,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.1037/a0014578,52,146,Secondary Data Analysis ,Medium,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,126,Cluster_2
,Education,Higher Education,Transportation,Community Engagement,,Academic Socialization: Understanding Parental Influences on Children's School-Related Development in the Early Years,2004,Review of general psychology,Leslie K. Taylor,3,North Carolina Central University,108,article,Influence of Parental Involvement on Student Achievement,Education,Social Sciences,Social Sciences,Quality education,https://doi.org/10.1037/1089-2680.8.3.163,85,281,Survey ,Large,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,129,Cluster_2
,Education,Higher Education,Expenses,Stress,,Uneven Stories: Successful Black Collegians at a Black and a White Campus,2002,Review of higher education/The review of higher education,Sharon Fries‐Britt,2,University of Mary,48,article,Factors Affecting Higher Education Outcomes and Experiences,Education,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.1353/rhe.2002.0012,26,316,Content Analysis ,Medium,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,138,Cluster_2
,Education,Higher Education,Housing,Policing / Justice Policy,,Schooling and Inequality from Generation to Generation,1972,Journal of political economy,Samuel Bowles,1,Santa Fe Institute,490,article,Intergenerational Mobility and Social Stratification,Sociology and Political Science,Social Sciences,Social Sciences,No poverty,https://doi.org/10.1086/259996,15,355,Controlled Expirement,Large,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,141,Cluster_2
,Education,Higher Education,Employment,Policing / Justice Policy,,American Schooling and Educational Inequality: A Forecast for the 21st Century,2001,Sociology of education,Adam Gamoran,1,William Thomas Grant Foundation,164,article,Inequality in Education: Impact of Socioeconomic Status,Education,Social Sciences,Social Sciences,,https://doi.org/10.2307/2673258,69,250,Focus Group,Medium,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,149,Cluster_2
Racial Discrimination and Health Inequities,Education,Language,Employment,Policing / Justice Policy,,"Ethnic Identity and the Academic Adjustment of Adolescents From Mexican, Chinese, and European Backgrounds.",2005,Developmental psychology, Andrew J. Fuligni,3, University of California,260,article,Racial Discrimination and Health Inequities,Sociology and Political Science,Social Sciences,Social Sciences,Quality education,https://doi.org/10.1037/0012-1649.41.5.799,25,389,Survey ,Small ,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,123,Cluster_2
Factors Affecting Higher Education Outcomes and Experiences,Education,Language,Housing,Community Engagement,,Helping first‐generation minority students achieve degrees,1992,New directions for community colleges, Richard C. Richardson,2,"Ashford and St Peter's Hospitals NHS Foundation Trust,",185,article,Factors Affecting Higher Education Outcomes and Experiences,Education,Social Sciences,Social Sciences,Quality education,https://doi.org/10.1002/cc.36819928005,20,169,Focus Group,Medium,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,124,Cluster_2
,Education,Language,Playgrounds,Policing / Justice Policy,,"African American Adolescents’ Future Education Orientation: Associations with Self-efficacy, Ethnic Identity, and Perceived Parental Support",2007,Journal of youth and adolescence,Jennifer L,4,Auburn University,82,article,Influence of Parental Involvement on Student Achievement,Education,Social Sciences,Social Sciences,,https://doi.org/10.1007/s10964-007-9201-7,56,192,Secondary Data Analysis ,Very Small,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,127,Cluster_2
,Education,Language,Housing,Support Systems,,"Discrimination, Ethnic Identity, and Academic Outcomes of Mexican Immigrant Children: The Importance of School Context",2012,Child development,Christia Spears Brown,2,University of Kentucky,114,article,Racial Discrimination and Health Inequities,Sociology and Political Science,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1111/j.1467-8624.2012.01786.x,37,185,Secondary Data Analysis ,Medium,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,131,Cluster_2
,Education,Language,Debt,Community Engagement,,Racial/Ethnic Differences in Educational Aspirations of High School Seniors,1999,Sociological perspectives,Zhenchao Qian,2,University of Maryland,121,article,Inequality in Education: Impact of Socioeconomic Status,Education,Social Sciences,Social Sciences,Quality education,https://doi.org/10.2307/1389576,40,177,Longitudinal Study,Small ,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,135,Cluster_2
,Education,Language,Expenses,Health Coverage,,Equity pedagogy: An essential component of multicultural education,1995,"Theory into practice, digital/Theory into practice",Cherry A. McGee Banks,2,Washington University in St. Louis,26,article,Education for Global Citizenship in a Globalized World,Education,Social Sciences,Social Sciences,Quality education,https://doi.org/10.1080/00405849509543674,21,396,Content Analysis ,Medium,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,137,Cluster_2
,Education,Language,Employment,Access to Healthy Options,,"Social-Demographic, School, Neighborhood, and Parenting Influences on the Academic Achievement of Latino Young Adolescents",2005,Journal of youth and adolescence,Mary Keegan Eamon,1,University of Illinois Urbana-Champaign,42,article,Influence of Parental Involvement on Student Achievement,Education,Social Sciences,Social Sciences,No poverty,https://doi.org/10.1007/s10964-005-3214-x,66,275,Case Study,Medium,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,145,Cluster_2
Inequality in Education: Impact of Socioeconomic Status,Education,Literacy,Playgrounds,Social Integration,,"Racial Disparities and Discrimination in Education: What Do We know, how Do We Know It, and What Do We Need to Know?",2003,Teachers College record,George Farkas,1, University of California,239,article,Inequality in Education: Impact of Socioeconomic Status,Education,Social Sciences,Social Sciences,,https://doi.org/10.1177/016146810310500606,69,5,Secondary Data Analysis ,Small ,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,104,Cluster_2
Racial Discrimination and Health Inequities,Education,Literacy,Support,Food Security,,The Influence of Ethnic Discrimination and Ethnic Identification on African American adolescents' School and Socioemotional Adjustment,2003,Journal of personality, Carol Wong,3,Western University,130,article,Racial Discrimination and Health Inequities,Sociology and Political Science,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1111/1467-6494.7106012,62,912,Survey ,Large,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,107,Cluster_2
Racial Discrimination and Health Inequities,Education,Literacy,Housing,Social Integration,,Discrimination Distress During Adolescence,2000,Journal of youth and adolescence, Celia B. Fisher,3,Fordham University,201,article,Racial Discrimination and Health Inequities,Sociology and Political Science,Social Sciences,Social Sciences,"Reduced inequalities, Peace, justice, and strong institutions",https://doi.org/10.1023/a:1026455906512,35,927,Secondary Data Analysis ,Very Small,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,110,Cluster_2
Positive Youth Development in the United States,Education,Literacy,Income,Social Integration,,Sense of Belonging Among High School Students Representing 4 Ethnic Groups,2005,Journal of youth and adolescence," Beverly S. Faircloth,",2,University of North Carolina at Greensboro,25,article,Positive Youth Development in the United States,Safety Research,Social Sciences,Social Sciences,Social Sciences,https://doi.org/10.1007/s10964-005-5752-7,69,349,Controlled Expirement,Medium,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,119,Cluster_2
Inequality in Education: Impact of Socioeconomic Status,Education,Literacy,Transportation,Community Engagement,,Cultural Explanations for Racial and Ethnic Stratification in Academic Achievement: A Call for a New and Improved Theory,2009,Review of educational research,Natasha Warikoo,2," Tufts University,",53,article,Inequality in Education: Impact of Socioeconomic Status,Education,Social Sciences,Social Sciences,Social Sciences,https://doi.org/10.3102/0034654308326162,150,203,Case Study,Small ,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,125,Cluster_2
,Education,Literacy,Parks,Exposure to Violence / Trauma,,Age and Gender Differences in Children's Self- and Task Perceptions during Elementary School,1993,Child development,Jacquelynne S. Eccles,4,"University of California, Irvine",561,article,Exploration of Smart Learning Strategies,Information Systems,Computer Science,Physical Sciences,Gender equality,https://doi.org/10.2307/1131221,,860,Controlled Expirement,Very Large,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,128,Cluster_2
,Education,Literacy,Playgrounds,Support Systems,,"What Does the Afqt Really Measure: Race, Wages, Schooling and the Afqt Score",1996,The Review of Black political economy/Review of Black political economy,William M. Rodgers,2,"Rutgers, The State University of New Jersey",65,article,Labor Market Dynamics and Inequality,Economics and Econometrics,"Economics, Econometrics and Finance","Economics, Sciences",Decent work and economic growth,https://doi.org/10.1007/bf02690041,12,121,Focus Group,Large,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,133,Cluster_2
,Education,Literacy,Playgrounds,Stress,,The Punishment Gap: School Suspension and Racial Disparities in Achievement,2016,Social problems,Edward W. Morris,2,University of Kentucky,43,article,Impact of School Discipline Policies on Students,Education,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1093/socpro/spv026,50,337,Secondary Data Analysis ,Small ,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,134,Cluster_2
,Education,Literacy,Playgrounds,Health Coverage,,"Private Choices, Public Consequences: Magnet School Choice and Segregation by Race and Poverty",2003,Social problems,Salvatore Saporito,1,William & Mary,21,article,Inequality in Education: Impact of Socioeconomic Status,Education,Social Sciences,Social Sciences,No poverty,https://doi.org/10.1525/sp.2003.50.2.181,11,257,Secondary Data Analysis ,Very Large,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,139,Cluster_2
,Education,Literacy,Playgrounds,Walkability,,Beyond a Test Score,2012,Journal of black studies,H. Richard Milner,1,Vanderbilt University,110,article,Critical Race Theory in Education,Sociology and Political Science,Social Sciences,Social Sciences,Sustainable cities and communities,https://doi.org/10.1177/0021934712442539,57,325,Case Study,Small ,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,144,Cluster_2
,Education,Literacy,Income,Policing / Justice Policy,,"The Gendered and Racialized Pathways of Latina and Latino Youth: Different Struggles, Different Resistances in the Urban Context",2004,Anthropology & education quarterly,Julio Cammarota,1,University of Arizona,71,article,Critical Race Theory in Education,Sociology and Political Science,Social Sciences,Social Sciences,Quality education,https://doi.org/10.1525/aeq.2004.35.1.53,29,228,Interview,Small ,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,148,Cluster_2
,Education,Literacy,Expenses,Exposure to Violence / Trauma,,"Educational Achievement, Language-Minority Students, and the New Second Generation",2001,Sociology of education,Carol Schmid,1,Guilford Technical Community College,41,article,Influence of Parental Involvement on Student Achievement,Education,Social Sciences,Social Sciences,Quality education,https://doi.org/10.2307/2673254,59,147,Survey ,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,150,Cluster_2
Influence of Parental Involvement on Student Achievement,Education,Vocational Training,Debt,Food Security,,"The Potential Roles of Self-Fulfilling Prophecies, Stigma Consciousness, and Stereotype Threat in Linking Latino/a Ethnicity and Educational Outcomes",2010,Journal of social issues, Max Guyll,4,Arizona State University,89,article,Influence of Parental Involvement on Student Achievement,Education,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1111/j.1540-4560.2009.01636.x,68,89,Focus Group,Very Small,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,105,Cluster_2
Inequality in Education: Impact of Socioeconomic Status,Education,Vocational Training,Playgrounds,Food Security,,From the Achievement Gap to the Education Debt: Understanding Achievement in U.S. Schools,2006,Educational researcher,Gloria Ladson‐Billings,1, University of Wisconsin–Madison,146,article,Inequality in Education: Impact of Socioeconomic Status,Education,Social Sciences,Social Sciences,,https://doi.org/10.3102/0013189x035007003,39,"2,137",Secondary Data Analysis ,Large,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,106,Cluster_2
Critical Race Theory in Education,Education,Vocational Training,Parks,Health Coverage,Provider & Pharmacy Availability,Fighting for Our Lives,2000,Journal of teacher education,Gloria Ladson‐Billings,1, University of Wisconsin–Madison,146,article,Critical Race Theory in Education,Sociology and Political Science,Social Sciences,Social Sciences,Quality education,https://doi.org/10.1177/0022487100051003008,38,583,Survey ,Very Large,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,114,Cluster_2
Multicultural Counseling Competencies and Ethical Practice,Education,Vocational Training,Income,Health Coverage,Quality of Care,Racial Disparities in New Millennium Schools: Implications for School Counselors.,2008,Journal of school counseling, Ireon Lebeauf,1, University of Nevada Reno,7,article,Multicultural Counseling Competencies and Ethical Practice,Social Psychology,Psychology,Social Sciences,"Peace, justice, and strong institutions",http://files.eric.ed.gov/fulltext/EJ894781.pdf,11,2,Case Study,Very Small,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,115,Cluster_2
Critical Race Theory in Education,Education,Vocational Training,Debt,Food Security,,The Lives and Values of Researchers: Implications for Educating Citizens in a Multicultural Society,1998,Educational researcher,James A. Banks,1, Sheffield Hallam University,419,article,Critical Race Theory in Education,Sociology and Political Science,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.3102/0013189x027007004,61,417,Interview,Very Large,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,117,Cluster_2
Racial Discrimination and Health Inequities,Education,Vocational Training,Expenses,Food Security,,"Discrimination Hurts: The Academic, Psychological, and Physical Well-Being of Adolescents",2010,Journal of research on adolescence, Virginia W. Huynh,2,California State University,33,article,Racial Discrimination and Health Inequities,Sociology and Political Science,Social Sciences,Social Sciences,"Reduced inequalities, Peace, justice, and strong institutions",https://doi.org/10.1111/j.1532-7795.2010.00670.x,81,240,Survey ,Medium,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,121,Cluster_2
,Education,Vocational Training,Housing,Food Security,,Identity and Academic Success among Underrepresented Ethnic Minorities: An Interdisciplinary Review and Integration,2011,Journal of social issues,Moin Syed,3,University of Minnesota,316,article,Factors Affecting Higher Education Outcomes and Experiences,Education,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1111/j.1540-4560.2011.01709.x,101,174,Interview,Small ,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,130,Cluster_2
,Education,Vocational Training,Housing,Policing / Justice Policy,,The Early Education of Socioeconomically Disadvantaged Children,2003,Annual review of psychology,David H. Arnold,2,University of South Carolina,185,article,Factors Affecting Student Engagement in Education,Education,Social Sciences,Social Sciences,No poverty,https://doi.org/10.1146/annurev.psych.54.111301.145442,174,292,Content Analysis ,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,132,Cluster_2
,Education,Vocational Training,Income,Policing / Justice Policy,,Majority African American Schools and Social Injustice: The Influence of De Facto Segregation on Academic Achievement,1996,Social forces,Carl L. Bankston,2,Tulane University,167,article,Inequality in Education: Impact of Socioeconomic Status,Education,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1093/sf/75.2.535,25,179,Content Analysis ,Small ,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,136,Cluster_2
,Education,Vocational Training,Support,Support Systems,,"African American Male Adolescents, Schooling (and Mathematics): Deficiency, Rejection, and Achievement",2006,Review of educational research,David W. Stinson,1,Georgia State University,79,article,Critical Race Theory in Education,Sociology and Political Science,Social Sciences,Social Sciences,Quality education,https://doi.org/10.3102/00346543076004477,68,147,Focus Group,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,142,Cluster_2
,Education,Vocational Training,Parks,Support Systems,,Toward a Theory of Anti-Oppressive Education,2000,Review of educational research,Kevin K. Kumashiro,1,University of San Francisco,96,article,Critical Pedagogy and Social Transformation,Education,Social Sciences,Social Sciences,Quality education,https://doi.org/10.3102/00346543070001025,79,783,Focus Group,Large,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,147,Cluster_2
Environmental Justice and Inequality in Urban Development,Food,Access to Healthy Options,Transportation,Literacy,Access to Linguistically & Culturally Appropriate Care,Cultivating Food Justice,2011,The MIT Press eBooks,,0,,,book,Environmental Justice and Inequality in Urban Development,Sociology and Political Science,Social Sciences,Social Sciences,Zero hunger,https://doi.org/10.7551/mitpress/8922.001.0001,55,562,Survey ,Very Large,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,151,Cluster_3
Impact of Food Insecurity on Health Outcomes,Food,Access to Healthy Options,Housing,Community Engagement,Access to Linguistically & Culturally Appropriate Care,Influence of a Pediatric Fruit and Vegetable Prescription Program on Child Dietary Patterns and Food Security,2021,Nutrients, Amy Saxe-Custack,4,Michigan State University,33,article,Impact of Food Insecurity on Health Outcomes,General Health Professions,Health Professions,Health Sciences,Zero hunger,https://doi.org/10.3390/nu13082619,60,14,Focus Group,Medium,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,156,Cluster_3
Global Trends in Obesity and Overweight Research,Food,Access to Healthy Options,Support,Vocational Training,Stress,Seeking community input to improve implementation of a lifestyle modification program.,2006,PubMed, Cristina Punzalan,8,,1,article,Global Trends in Obesity and Overweight Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,,https://pubmed.ncbi.nlm.nih.gov/16681131,19,10,Case Study,Very Large,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,157,Cluster_3
Impact of Food Insecurity on Health Outcomes,Food,Access to Healthy Options,Employment,Social Integration,Exposure to Violence / Trauma,"Caregiver Experiences With an Innovative Farmers’ Market Incentive Program for Children in Flint, Michigan",2019,Global pediatric health, Amy Saxe-Custack,6, Michigan State University,33,article,Impact of Food Insecurity on Health Outcomes,General Health Professions,Health Professions,Health Sciences,Zero hunger,https://doi.org/10.1177/2333794x19870989,30,12,Interview,Large,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,158,Cluster_3
Global Cancer Incidence and Mortality Patterns,Food,Access to Healthy Options,Income,Language,Stress,Cancer Disparities by Race/Ethnicity and Socioeconomic Status,2004,Ca, Elizabeth M. Ward,6, American Cancer Society,336,article,Global Cancer Incidence and Mortality Patterns,Oncology,Medicine,Health Sciences,No poverty,https://doi.org/10.3322/canjclin.54.2.78,28,"1,593",Secondary Data Analysis ,Small ,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,161,Cluster_3
Understanding Consumer Behavior in Retail Environments,Food,Access to Healthy Options,Expenses,Language,Health Coverage,Where Urban Residents Shop for Produce,2014,"Journal of agriculture, food systems, and community development", Allison Karpyn,6, University of Delaware,112,article,Understanding Consumer Behavior in Retail Environments,Marketing,"Business, Management and Accounting",Social Sciences,Sustainable cities and communities,https://doi.org/10.5304/jafscd.2014.044.009,26,1,Case Study,Large,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,168,Cluster_3
Impact of Urban Green Space on Public Health,Food,Access to Healthy Options,Income,Community Engagement,Quality of Care,“I run inside the buildings”: adolescents’ perceptions of physical health and nature in family homeless shelters,2019,Journal of children & poverty/Journal of children and poverty, Courtney Cronley,4, Knoxville College,84,article,Impact of Urban Green Space on Public Health,"Health, Toxicology and Mutagenesis",Environmental Science,Physical Sciences,,https://doi.org/10.1080/10796126.2019.1633074,60,1,Interview,Very Small,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,169,Cluster_3
Impact of Food Insecurity on Health Outcomes,Food,Access to Healthy Options,Debt,Walkability,Quality of Care,402: Association between food deserts and pregnancy outcomes,2020,American journal of obstetrics and gynecology, Laura G. Willingham,5,University of Tennessee Health Science Center,6,article,Impact of Food Insecurity on Health Outcomes,General Health Professions,Health Professions,Health Sciences,No poverty,https://doi.org/10.1016/j.ajog.2019.11.418,,1,Survey ,Very Large,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,173,Cluster_3
Self-Management of Diabetes in Adults,Food,Access to Healthy Options,Employment,Early Childhood,Health Coverage,Is Self-Efficacy Associated With Diabetes Self-Management Across Race/Ethnicity and Health Literacy?,2006,Diabetes care," Urmimala Sarkar,",3, University of California,301,article,Self-Management of Diabetes in Adults,"Endocrinology, Diabetes and Metabolism",Medicine,Health Sciences,Quality education,https://doi.org/10.2337/diacare.29.04.06.dc05-1615,59,516,Focus Group,Small ,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,174,Cluster_3
,Food,Access to Healthy Options,Employment,Vocational Training,Access to Linguistically & Culturally Appropriate Care,Maternal bisphenol-A levels at delivery: a looming problem?,2008,Journal of perinatology,Vasantha Padmanabhan,8,University of Michigan–Ann Arbor,436,article,Endocrine Disruption by Chemical Exposure,"Health, Toxicology and Mutagenesis",Environmental Science,Physical Sciences,Good health and well-being,https://doi.org/10.1038/sj.jp.7211913,45,248,Controlled Expirement,Small ,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,176,Cluster_3
,Food,Access to Healthy Options,Expenses,Vocational Training,Stress,"Influence of Race, Ethnicity, and Culture on Childhood Obesity: Implications for Prevention and Treatment",2008,Diabetes care,Sonia Caprio,7,University of Siena,215,article,Global Trends in Obesity and Overweight Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,Good health and well-being,https://doi.org/10.2337/dc08-9024,72,413,Longitudinal Study,Medium,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,177,Cluster_3
,Food,Access to Healthy Options,Housing,Support Systems,Provider & Pharmacy Availability,"“You Have to Hunt for the Fruits, the Vegetables”: Environmental Barriers and Adaptive Strategies to Acquire Food in a Low-Income African American Neighborhood",2011,Health education & behavior,Shannon N. Zenk,7,National Institute of Nursing Research,176,article,Global Trends in Obesity and Overweight Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,Zero hunger,https://doi.org/10.1177/1090198110372877,53,164,Content Analysis ,Very Small,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,178,Cluster_3
,Food,Access to Healthy Options,Expenses,Social Integration,Provider & Pharmacy Availability,"Achieving Health Equity: Closing The Gaps In Health Care Disparities, Interventions, And Research",2016,Health affairs,Tanjala S. Purnell,7,Johns Hopkins Medicine,100,article,Contribution of Primary Care to Health Systems and Health,General Health Professions,Health Professions,Health Sciences,No poverty,https://doi.org/10.1377/hlthaff.2016.0158,31,232,Case Study,Very Large,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,179,Cluster_3
,Food,Access to Healthy Options,Expenses,Literacy,Provider & Pharmacy Availability,Multiple myeloma: A review of the epidemiologic literature,2007,International journal of cancer,Dominik D. Alexander,7,Michigan United,108,review,Diagnosis and Treatment of Multiple Myeloma,Hematology,Medicine,Health Sciences,Good health and well-being,https://doi.org/10.1002/ijc.22718,308,282,Longitudinal Study,Very Large,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,180,Cluster_3
,Food,Access to Healthy Options,Transportation,Walkability,Policing / Justice Policy,Impact of Olfactory Impairment on Quality of Life and Disability,2001,Archives of otolaryngology--head & neck surgery,Takaki Miwa,6,Kanazawa Medical University,321,article,Olfactory Dysfunction in Health and Disease,Sensory Systems,Neuroscience,Life Sciences,,https://doi.org/10.1001/archotol.127.5.497,12,433,Survey ,Small ,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,181,Cluster_3
,Food,Access to Healthy Options,Employment,Education,Stress,"Gastric Cancer: Descriptive Epidemiology, Risk Factors, Screening, and Prevention",2014,"Cancer epidemiology, biomarkers & prevention",Parviz Karimi,5,Ilam University,62,article,Helicobacter pylori Infection and Gastric Cancer,Surgery,Medicine,Health Sciences,Good health and well-being,https://doi.org/10.1158/1055-9965.epi-13-1057,167,1423,Focus Group,Medium,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,182,Cluster_3
,Food,Access to Healthy Options,Housing,Social Integration,Health Coverage,Participatory photo mapping (PPM): Exploring an integrated method for health and place research with young people,2009,Health and place/Health & place (Online),Samuel F. Dennis,4,East Carolina University,21,article,Participatory Visual Research Methods in Social Science,Sociology and Political Science,Social Sciences,Social Sciences,Partnerships for the goals,https://doi.org/10.1016/j.healthplace.2008.08.004,74,194,Interview,Large,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,184,Cluster_3
,Food,Access to Healthy Options,Playgrounds,Language,Access to Linguistically & Culturally Appropriate Care,New Neighborhood Grocery Store Increased Awareness Of Food Access But Did Not Alter Dietary Habits Or Obesity,2014,Health affairs,Steven Cummins,3,MRC Epidemiology Unit,266,article,Global Trends in Obesity and Overweight Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,Zero hunger,https://doi.org/10.1377/hlthaff.2013.0512,39,393,Content Analysis ,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,188,Cluster_3
,Food,Access to Healthy Options,Housing,Community Engagement,Access to Linguistically & Culturally Appropriate Care,Targeting Interventions for Ethnic Minority and Low-Income Populations,2006,Future of children/The Future of children,Shiriki Kumanyika,2,Drexel University,406,article,Global Trends in Obesity and Overweight Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,No poverty,https://doi.org/10.1353/foc.2006.0005,86,458,Interview,Medium,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,190,Cluster_3
,Food,Access to Healthy Options,Income,Literacy,Provider & Pharmacy Availability,"Epidemiology of gastric cancer: global trends, risk factors and prevention",2019,Przegląd Gastroenterologiczny,Prashanth Rawla,2,Sovah Health Martinsville,74,article,Gastric Cancer Research and Treatment,Pulmonary and Respiratory Medicine,Medicine,Health Sciences,Good health and well-being,https://doi.org/10.5114/pg.2018.80001,65,1034,Secondary Data Analysis ,Large,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,192,Cluster_3
